SongName,ArtistName,Popularity,Tempo,Genre
Hall of Fame (feat. will.i.am),The Script,85,124.111,pop
Animals,Maroon 5,87,95.977,pop
Talking to the Moon,Bruno Mars,87,95.977,pop
Astronomy,Conan Gray,0,75.051,acoustic
Heartbreak Anthem (with David Guetta & Little Mix),Galantis,89,102.977,rock
Shape of You,Ed Sheeran,87,119.976,pop
Shape of You,Ed Sheeran,87,119.976,pop
Lost Cause,Billie Eilish,0,102.028,rock
Levitating (feat. DaBaby),Dua Lipa,67,127.099,pop
Leave Before You Love Me (with Jonas Brothers),Marshmello,66,98.03,rock
Leave Before You Love Me (with Jonas Brothers),Marshmello,77,119.986,rock
Hymn for the Weekend - Seeb Remix,Coldplay,58,149.941,pop
Two of Us,Louis Tomlinson,69,94.42,acoustic
Want You Back,5 Seconds of Summer,69,94.42,acoustic
My Way,Calvin Harris,77,104.01,pop
One More Day (with Chandler Leighton),Jason Ross,74,80.95,pop
Baarishein,Anuv Jain,91,90.03,pop
Baarishein,Anuv Jain,90,110.968,pop
Call You Mine,The Chainsmokers,81,110.444,pop
Our Song,Anne-Marie,90,180.917,pop
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,64,141.926,pop
Kiss Me More (feat. SZA),Doja Cat,85,120.001,pop
Grenade,Bruno Mars,58,149.941,pop
deja vu,Olivia Rodrigo,77,104.01,pop
Sideways,ILLENIUM,81,170.039,electronic
Night Changes,One Direction,81,170.039,electronic
One More Day (with Chandler Leighton),Jason Ross,90,110.968,pop
Call You Mine,The Chainsmokers,81,110.444,pop
Into Your Arms (feat. Ava Max),Witt Lowry,66,149.979,pop
Into Your Arms (feat. Ava Max),Witt Lowry,40,112.001,instrumental
Kiss Me More (feat. SZA),Doja Cat,40,112.001,instrumental
Grenade,Bruno Mars,72,149.876,rock
Nightlight,ILLENIUM,67,95.979,jazz
Sygrayem (Let's Play),Carlos Rafael Rivera,67,103.94,pop
Sygrayem (Let's Play),Carlos Rafael Rivera,74,98.007,rock
"Tchaikovsky: Swan Lake, Op. 20, Act 2: Scene (Moderato)",Pyotr Ilyich Tchaikovsky,87,89.911,pop
Hero (feat. Christina Perri),Cash Cash,70,128.056,rock
Goodbye To A World,Porter Robinson,91,178.781,pop
One Dance,Drake,84,71.884,acoustic
Lean On,Major Lazer,76,94.98,rock
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,87,83.97,pop
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,85,120.001,pop
Cheques,Shubh,11.729537366548042,90,hiphop
Mi Amor,Sharn,15.424581005586592,100,pop
White Brown Black,Avvy Sra,9.131868131868131,140,hiphop
Admirin' You (feat. Preston Pablo),Karan Aujla,12.774358974358975,100,hiphop
9:45,Prabh Singh,15.285714285714286,75,acoustic
No Love,Shubh,12.937086092715232,105,hiphop
Softly,Karan Aujla,12.9375,110,hiphop
